ukprn,provider,total_students,international,fulltime_students,acc_provider_halls,acc_private_halls,acc_parental_home,acc_own_residence,acc_other_rented,acc_other
10008071,AA School of Architecture,880,820,880,20,45,30,500,285,0
10007783,The University of Aberdeen,13930,2620,11800,1540,2335,2345,4930,75,0
10007849,Abertay University,4990,465,3580,260,50,1150,1225,845,40
10007856,Aberystwyth University,8970,1120,6620,2330,1205,20,500,2265,60
10092025,ACMET London College,50,0,50,0,0,5,30,0,10
10067853,ACM Guildford Limited,865,20,845,0,165,415,115,35,115
10032036,Amity University [IN] London,170,155,170,0,0,5,10,145,10
10030497,Anglo Skills College,160,0,160,0,0,5,155,0,0
10000291,Anglia Ruskin University,34370,7165,27570,750,1320,7200,9650,5590,2060
10041898,Apex College,985,0,985,0,0,165,615,0,205
10005451,Arden University,32740,40,23980,0,20,5275,15570,2210,10
10000381,Arts Educational Schools,340,35,340,5,10,55,30,230,0
10008899,The Ashridge (Bonar Law Memorial) Trust,535,10,,,,,,,
10003212,Hult International Business School Ltd,1730,1610,1625,95,30,80,370,785,190
10007759,Aston University,19565,4325,16125,0,4750,4310,1010,560,690
10007857,Bangor University,9935,2135,8100,2925,685,960,995,2295,185
10000571,Bath Spa University,28970,790,27950,1180,535,3285,15805,3300,3405
10007850,The University of Bath,20530,4880,18775,6260,495,1210,1620,8270,295
10007152,University of Bedfordshire,9000,2705,7580,0,530,2185,2790,1345,680
10005343,Queen's University Belfast,25080,5480,21095,3030,2080,6590,2325,4870,960
10037544,BIMM University,6435,405,6285,630,450,1445,390,2855,160
10007810,Birmingham Christian College,35,0,5,0,0,0,5,0,0
10007760,Birkbeck College,7720,930,4075,80,70,1130,2450,0,205
10007140,Birmingham City University,31875,5055,27420,730,4635,12930,3140,5795,135
10006840,The University of Birmingham,40025,12485,34585,5440,2735,6955,2905,13530,2545
10000712,University College Birmingham,6760,3180,5830,590,15,1440,1745,340,1685
10007832,Birmingham Newman University,5500,10,4900,195,5,1470,2850,0,370
10000894,Bristol Baptist College,45,0,5,0,0,0,0,0,0
10004061,Bloomsbury Institute,1035,820,1035,0,5,95,470,250,215
10000385,The Arts University Bournemouth,3740,505,3525,930,360,395,300,1420,70
10000824,Bournemouth University,16860,2760,14265,290,7930,2815,970,2055,95
10031982,BPP University,31490,21865,26600,0,0,680,4210,14805,1790
10007785,The University of Bradford,10770,2700,9260,0,1195,4825,1745,645,755
10000886,The University of Brighton,17405,2485,13960,3570,0,560,2250,1095,5955
10007786,The University of Bristol,32435,10900,30585,3705,7660,1750,780,15940,0
10023464,Trinity College Bristol,105,0,30,20,0,0,10,0,0
10000961,Brunel University London,12705,4400,11425,2925,135,5095,1215,1660,135
10000975,Buckinghamshire New University,18490,1530,15825,835,0,1270,10345,2800,570
10008173,University of the Built Environment,3580,5,840,0,0,20,25,25,0
10007787,The University of Buckingham,3455,900,2975,565,10,465,1025,585,175
10042737,UK Business College Ltd,170,0,170,0,0,0,170,0,0
10019368,London College of Business Studies,280,0,280,0,0,0,275,0,5
10010308,Cambridge Arts and Sciences Limited,115,70,115,55,20,15,0,15,0
10007788,The University of Cambridge,22565,7265,20410,16670,480,115,970,1670,180
10032072,The Cambridge Theological Federation,120,5,55,15,0,5,20,5,5
10003324,The Institute of Cancer Research,370,55,170,0,0,15,70,80,0
10001143,Canterbury Christ Church University,38385,1355,35095,480,365,4000,18245,3715,7375
10007814,Cardiff University,31505,5040,26790,6150,3275,2310,2240,10820,335
10034450,Cardiff and Vale College,45,0,10,0,0,5,5,0,0
10086359,Caspian School of Academics,500,0,500,0,0,15,185,0,300
10007854,Cardiff Metropolitan University,12265,2040,11270,1410,835,2860,1225,4240,405
10057213,CEG UFP Limited,615,605,595,5,275,45,10,235,20
10001264,Central School of Ballet,130,50,130,0,70,25,10,25,0
10021550,Centre for Alternative Technology,410,55,160,0,0,30,45,45,35
10024024,Central Film School,195,35,185,0,45,45,10,60,25
10007848,University of Chester,13520,3875,11440,1095,920,2870,1955,3540,545
10007137,The University of Chichester,6375,210,4800,1085,20,1015,790,1490,80
10001386,Chicken Shed Theatre Company,90,0,90,0,0,85,5,5,0
10001546,The College of Integrated Chinese Medicine,150,10,150,0,0,5,140,0,0
10026921,Christ the Redeemer College,505,0,505,0,0,10,490,0,0
10010213,The City College,420,0,420,0,0,5,405,0,10
10001478,"City St George's, University of London",27230,6790,24080,345,1980,10920,3905,5385,1265
10007912,Cliff College,135,10,20,10,0,0,5,0,0
10066502,The College of Health Ltd,365,45,75,0,5,25,20,20,5
10041295,Coleg Cambria,35,0,35,0,0,25,10,0,0
10008912,Coleg Gwent,70,0,5,0,0,5,0,0,0
10091065,Collective Acting Studio,35,0,35,0,0,15,5,5,5
10023442,The College of Osteopaths,85,0,,,,,,,
10020038,Commonwealth College of Excellence,280,0,280,0,0,0,280,0,0
10081618,The Council of the Inns of Court,475,35,475,0,5,165,185,30,15
10007761,Courtauld Institute of Art,630,195,615,105,10,100,170,195,20
10034324,Court Theatre Training Company Ltd,30,0,30,0,5,5,5,15,0
10001726,Coventry University,29505,13300,25015,1125,3395,5300,3860,9030,1615
10007822,Cranfield University,5000,1785,1930,1290,0,55,425,35,85
10006427,University for the Creative Arts,15110,2210,14955,2635,345,1715,7510,1420,1160
10007842,University of Cumbria,9065,235,5300,540,95,985,2660,335,180
10015688,David Game College Ltd,400,0,400,0,0,0,400,0,0
10001883,De Montfort University,23155,7355,20510,1195,3170,5840,2025,6795,1475
10007851,University of Derby,18895,2710,12080,1665,770,3320,3675,1780,270
10007852,The University of Dundee,13435,2390,11475,475,1010,1405,2185,3925,2400
10007143,University of Durham,21150,6895,20425,9400,230,505,595,9220,475
10067355,Dyson Technical Training Limited,180,0,,,,,,,
10007789,The University of East Anglia,16945,2430,14130,4085,965,1900,2080,5095,0
10007144,The University of East London,26755,13230,24730,1485,760,2360,15830,2340,1245
10032282,The Queen's Foundation for Ecumenical Theological Education,265,5,20,15,0,0,5,0,0
10007823,Edge Hill University,13330,595,10695,2645,185,3505,1875,2310,115
10007772,Edinburgh Napier University,13805,3800,12570,2155,425,3340,3615,2610,310
10007790,The University of Edinburgh,39015,16235,35425,13650,5605,2760,1630,9935,410
10032295,Emmanuel Theological College,130,0,25,0,0,0,25,0,0
10022047,Empire College London Limited,270,0,270,0,0,0,270,0,0
10042570,Escape Studios,860,35,860,0,60,550,110,95,20
10007791,The University of Essex,14015,4725,12315,4995,0,2440,1170,2455,1255
