Sort,Station name,"Three Letter Code
(TLC)",National Location Code (NLC),Region,Local authority: district or unitary,Apr 1997 to Mar 1998,Apr 1998 to Mar 1999,Apr 1999 to Mar 2000,Apr 2000 to Mar 2001,Apr 2001 to Mar 2002,Apr 2002 to Mar 2003,Apr 2003 to Mar 2004,Apr 2004 to Mar 2005,Apr 2005 to Mar 2006,Apr 2006 to Mar 2007,Apr 2007 to Mar 2008,Apr 2008 to Mar 2009,Apr 2009 to Mar 2010,Apr 2010 to Mar 2011,Apr 2011 to Mar 2012,Apr 2012 to Mar 2013,Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,Apr 2015 to Mar 2016,Apr 2016 to Mar 2017,Apr 2017 to Mar 2018,Apr 2018 to Mar 2019,Apr 2019 to Mar 2020,Apr 2020 to Mar 2021,Apr 2021 to Mar 2022,Apr 2022 to Mar 2023 [b],Apr 2023 to Mar 2024,Apr 2024 to Mar 2025
1,Abbey Wood,ABW,5131,London,Greenwich,"2,060,584","2,284,585","2,355,943","2,443,651","2,400,216","2,425,400",[x],"2,201,541","2,089,975","2,804,493","3,096,498","3,029,176","2,882,868","3,030,212","3,134,250","3,175,430","3,282,240","3,319,408","2,929,472","2,988,802","3,124,850","3,769,402","3,825,206","1,412,638","2,638,456","7,118,664","10,655,006","11,873,686"
2,Aber,ABE,3813,Wales,Caerphilly - Caerffili,"88,714","87,910","112,812","115,079","115,667","134,397",[x],"134,191","136,549","169,463","183,136","192,180","192,788","202,486","203,432","209,622","219,868","212,546","214,996","227,270","251,108","245,218","228,480","15,712","73,642","103,976","136,896","145,234"
3,Abercynon,ACY,3801,Wales,Rhondda Cynon Taf - Rhondda Cynon Taf,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],"194,164","195,702","214,492","240,070","243,948","251,688","265,458","275,404","293,638","298,358","289,008","282,886","33,006","105,822","134,880","144,514","189,820"
4,Abercynon North,[z],[z],[z],[z],"43,073","42,890","47,417","52,014","62,184","82,961",[x],"112,811","114,833","123,455","127,598",[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z]
5,Abercynon South,[z],[z],[z],[z],"51,191","49,553","56,520","67,107","72,290","68,360",[x],"92,256","82,208","70,294","64,660",[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z],[z]
6,Aberdare,ABA,3982,Wales,Rhondda Cynon Taf - Rhondda Cynon Taf,"158,945","178,680","219,986","260,244","302,859","331,006",[x],"464,026","465,675","469,086","471,586","506,004","507,820","524,592","537,542","552,436","557,992","551,928","566,904","569,364","571,746","555,780","504,622","53,668","177,350","226,714","238,580","341,438"
7,Aberdeen,ABD,8976,Scotland,Aberdeen City,"1,550,570","1,590,804","1,609,251","1,607,702","1,762,708","1,761,041",[x],"1,931,973","2,107,855","2,278,872","2,470,281","2,568,810","2,657,014","2,964,302","3,170,464","3,338,072","3,599,431","3,742,646","3,459,944","3,058,268","2,948,150","2,616,142","2,497,108","393,982","1,536,720","1,961,414","2,287,858","2,377,660"
8,Aberdour,AUR,9090,Scotland,Fife,"78,964","87,940","95,220","103,545","95,850","96,376",[x],"112,941","109,580","120,420","121,724","128,074","131,874","129,786","126,000","124,298","127,470","129,474","127,312","125,208","135,240","140,048","126,340","14,726","62,990","78,952","105,028","116,962"
9,Aberdovey,AVY,4435,Wales,Gwynedd - Gwynedd,"20,938","19,424","21,204","21,030","21,040","21,302",[x],"23,299","20,461","23,365","25,093","25,418","27,996","32,190","36,696","33,612","34,450","36,684","38,094","35,960","37,706","40,390","36,560","5,396","22,886","34,208","37,538","49,838"
10,Abererch,ABH,4440,Wales,Gwynedd - Gwynedd,513,426,516,735,473,498,[x],"1,038","1,027","1,095","1,261","1,258","1,326","1,620","1,786","1,214","1,380",326,"1,984","2,140","2,506","2,228","2,148",0,396,"2,040","2,306","3,552"
