crs,trains_per_day,peak_trains,peak_hour_count,peak_hour_start,first_dep,last_dep,direct_destinations,key_cities_count,key_cities
AAP,314,64,24,07:01,00:02,23:53,42,2,Cambridge|London
AAT,8,1,2,14:48,07:11,19:09,16,1,Inverness
ABA,63,12,4,05:52,00:13,23:46,23,1,Cardiff
ABC,7,1,2,13:34,09:02,21:50,25,1,Inverness
ABD,78,14,7,13:11,00:09,23:52,64,14,Birmingham|Bristol|Derby|Edinburgh|Exeter|Glasgow|Inverness|Leeds|London|Newcastle|Peterborough|Plymouth|Sheffield|York
ABE,144,27,10,07:06,00:06,23:55,30,1,Cardiff
ABF,1,0,1,23:37,23:37,23:37,2,0,
ABH,17,3,3,20:27,00:03,21:12,26,0,
ABW,246,46,17,07:07,00:30,23:59,59,1,London
ABX,177,33,16,22:17,00:07,23:59,27,1,Reading
ABY,241,41,18,06:22,00:06,23:46,34,2,Manchester|Sheffield
ACB,36,6,2,05:54,05:54,23:59,12,2,Birmingham|Liverpool
ACC,168,31,12,07:07,00:03,23:48,22,0,
ACG,68,14,6,06:19,05:47,23:35,34,1,Birmingham
ACH,8,0,2,12:39,06:41,19:39,16,1,Inverness
ACK,3,1,1,07:39,07:39,19:47,8,1,Newcastle
ACL,38,9,4,06:23,05:55,23:18,5,1,Norwich
ACN,8,1,2,12:22,07:02,19:22,16,1,Inverness
ACR,129,23,9,20:00,00:02,23:35,57,4,Leeds|Manchester|Preston|York
ACT,126,20,10,06:19,00:13,23:53,27,1,London
ACY,198,35,13,12:41,00:04,23:52,23,1,Cardiff
ADC,46,6,6,06:08,00:24,23:45,13,1,Manchester
ADD,45,7,5,05:57,00:17,23:54,22,2,Birmingham|Coventry
ADK,4,2,2,07:16,07:16,16:57,11,1,Manchester
ADL,50,10,5,07:38,00:05,23:08,19,2,Manchester|Preston
ADM,49,10,5,16:53,05:09,23:59,20,1,London
ADN,37,6,5,21:50,07:05,22:47,13,1,Glasgow
ADR,125,24,12,06:41,00:21,23:57,44,1,Edinburgh
ADS,24,5,3,08:48,07:00,22:45,13,1,Glasgow
ADV,81,12,8,09:39,00:51,23:57,30,3,Exeter|London|Reading
ADW,53,6,8,13:05,06:28,23:57,20,2,Edinburgh|Glasgow
AER,32,6,3,06:15,06:15,23:15,3,0,
AFK,222,39,18,06:13,00:02,23:59,66,1,London
AFS,163,27,12,06:28,00:08,23:42,41,1,London
AFV,37,6,3,07:12,05:42,23:39,9,1,Preston
AGL,44,7,4,20:14,00:40,23:39,53,4,Birmingham|Cardiff|Liverpool|Manchester
AGS,207,36,14,07:29,06:20,23:54,47,0,
AGT,49,8,4,05:29,00:17,23:47,23,2,Brighton|Portsmouth
AGV,72,10,7,18:04,00:05,23:28,75,3,Cardiff|Manchester|Swansea
AHD,157,27,12,07:04,00:14,23:49,34,1,London
AHN,38,6,4,06:23,06:23,23:28,23,1,Manchester
AHS,37,7,3,06:56,05:54,22:58,11,1,London
AHT,193,32,13,11:00,00:13,23:57,31,1,London
AHV,160,27,11,10:49,00:17,23:49,28,1,London
AIG,129,24,8,06:14,06:14,23:51,18,0,
AIN,125,24,9,07:29,00:03,23:54,18,0,
AIR,69,12,5,07:02,05:49,23:39,33,0,
ALB,38,6,4,22:34,00:16,23:29,14,1,Birmingham
ALD,113,22,9,06:02,00:05,23:35,19,1,Manchester
ALE,271,45,18,17:39,00:32,23:55,87,8,Birmingham|Liverpool|London|Manchester|Norwich|Nottingham|Peterborough|Sheffield
ALF,84,13,8,19:10,05:41,23:34,30,7,Leeds|Liverpool|Manchester|Norwich|Nottingham|Peterborough|Sheffield
ALK,27,6,4,07:28,05:31,22:10,29,5,Liverpool|Manchester|Nottingham|Peterborough|Sheffield
ALM,63,8,8,06:25,05:54,23:31,58,14,Birmingham|Bristol|Cardiff|Derby|Edinburgh|Exeter|Glasgow|Leeds|London|Newcastle|Peterborough|Plymouth|Sheffield|York
ALN,52,9,4,05:34,05:34,23:15,11,1,London
ALO,36,6,3,06:16,00:05,23:47,6,1,Glasgow
ALP,19,4,4,22:26,05:52,23:11,21,3,Liverpool|Manchester|Sheffield
ALR,43,7,4,06:49,00:34,23:24,21,1,London
ALT,44,9,5,06:57,00:05,23:54,15,1,Manchester
ALV,73,12,5,06:10,06:10,23:48,18,1,Birmingham
ALW,69,11,5,08:15,00:02,23:09,29,2,Carlisle|Newcastle
ALX,67,11,5,07:58,00:23,23:28,36,0,
AMB,39,6,4,20:59,05:57,23:38,29,2,Derby|Nottingham
AMF,17,3,4,05:37,05:37,22:01,33,1,Swansea
AML,156,29,12,07:40,05:09,23:56,31,0,
AMR,67,13,6,07:11,00:33,23:33,10,1,London
AMT,47,9,6,06:45,00:33,23:50,12,2,London|Reading
AMY,72,12,5,08:19,05:55,23:53,28,2,London|Portsmouth
ANC,9,2,2,08:21,06:47,20:49,15,1,Nottingham
AND,207,37,14,07:49,06:12,23:49,47,0,
ANF,50,11,6,07:40,06:32,23:47,38,2,London|Southampton
ANG,208,36,15,07:35,05:14,23:57,51,4,Brighton|London|Portsmouth|Southampton
ANL,254,51,19,06:48,00:07,23:51,80,2,Edinburgh|Glasgow
ANN,37,6,4,12:16,05:13,23:30,13,2,Carlisle|Glasgow
ANS,144,24,9,06:27,00:14,23:52,16,0,
ANZ,159,28,10,07:10,00:01,23:45,30,1,London
AON,44,9,4,08:44,00:10,23:48,13,1,London
APB,93,17,8,07:54,06:26,23:34,24,1,Manchester
APD,36,6,3,05:53,05:53,23:38,15,0,
APF,21,5,3,07:38,06:47,23:38,17,0,
APG,34,5,3,07:32,05:31,23:06,11,0,
APN,80,15,6,12:02,05:39,23:58,9,0,
APP,16,3,2,06:32,06:32,20:54,19,2,Carlisle|Leeds
APS,86,18,8,08:06,00:38,23:40,24,3,Birmingham|Coventry|London
APY,70,14,7,18:23,06:11,23:31,12,1,Leeds
ARA,2,1,1,08:30,08:30,16:20,1,0,
ARB,81,14,7,06:48,06:06,23:32,67,15,Aberdeen|Birmingham|Bristol|Derby|Edinburgh|Exeter|Glasgow|Inverness|Leeds|London|Newcastle|Peterborough|Plymouth|Sheffield|York
ARD,11,3,2,08:33,06:13,20:02,25,1,Inverness
ARG,9,1,2,16:21,06:23,23:18,25,1,Glasgow
ARL,90,12,8,23:05,00:26,23:58,33,2,London|Peterborough
ARM,74,12,6,15:27,00:08,23:40,39,1,Edinburgh
ARN,50,9,7,17:12,05:34,23:48,35,2,Manchester|Preston
ARR,11,3,3,07:32,06:32,20:15,17,1,York
ART,18,4,4,06:34,06:34,22:44,27,2,Edinburgh|Glasgow
ARU,74,12,6,06:44,05:51,23:57,30,2,London|Portsmouth
ASB,82,14,8,21:32,00:03,23:30,17,1,Glasgow
ASC,44,8,5,07:26,06:23,22:54,47,10,Birmingham|Bristol|Cambridge|Cardiff|Derby|Leicester|London|Nottingham|Peterborough|Reading
ASD,28,6,3,07:30,07:30,20:51,4,1,Bristol
ASF,50,11,5,07:45,06:39,23:45,7,1,Glasgow
ASG,70,13,5,07:14,05:59,23:14,29,2,Derby|Nottingham
ASH,123,22,10,07:28,00:05,23:37,22,1,Reading
ASK,25,5,3,06:02,06:02,22:21,33,2,Manchester|Preston
ASL,31,6,3,06:07,06:07,23:58,7,1,Newcastle
ASN,84,14,7,06:35,00:04,23:37,24,1,London
ASP,37,6,4,14:26,06:07,22:47,9,1,Carlisle
ASS,15,3,3,15:36,06:55,23:10,25,1,Inverness
AST,217,36,13,06:14,00:02,23:51,44,1,Birmingham
ASY,44,9,5,06:49,00:06,23:47,15,1,Manchester
ATB,74,11,7,21:22,00:20,23:59,59,5,Birmingham|Cardiff|Derby|Leicester|Nottingham
ATH,39,4,5,06:01,06:01,23:04,12,1,London
ATL,46,9,5,17:48,05:52,23:50,42,7,Cambridge|Liverpool|Manchester|Norwich|Nottingham|Peterborough|Sheffield
ATN,140,26,12,06:55,00:06,23:31,47,2,Leeds|Manchester
ATT,8,0,2,12:43,06:25,19:55,16,1,Inverness
AUD,119,21,9,07:08,00:27,23:49,50,6,Birmingham|Cambridge|Leicester|London|Norwich|Peterborough
AUG,125,24,9,07:43,00:17,23:57,18,0,
AUI,18,4,4,06:51,06:51,22:28,27,2,Edinburgh|Glasgow
AUK,26,3,4,13:42,06:34,23:09,13,2,Carlisle|Glasgow
AUR,69,12,6,21:10,06:11,23:16,17,1,Edinburgh
AUW,2,1,1,07:55,07:55,17:51,13,0,
AVF,46,9,5,06:13,00:16,23:55,39,4,Bristol|Cardiff|Portsmouth|Southampton
AVM,27,6,4,20:34,06:12,22:39,28,9,Birmingham|Edinburgh|Glasgow|Inverness|London|Newcastle|Peterborough|Preston|York
AVN,58,10,7,22:21,05:38,23:18,29,1,Bristol
AVP,22,6,3,07:00,00:03,23:03,10,1,London
AVY,17,4,3,22:14,07:02,22:33,26,0,
AWK,54,10,4,06:53,00:03,23:43,14,2,Leeds|Sheffield
AWM,114,19,9,16:39,00:07,23:57,38,3,Brighton|Cambridge|London
AWT,15,2,2,07:47,06:03,20:42,19,2,Carlisle|Leeds
AXM,46,8,5,07:23,05:50,23:48,23,2,Exeter|London
AXP,66,12,5,06:26,06:08,23:58,28,0,
AYH,50,10,5,17:56,00:02,23:07,20,1,London
AYL,73,12,5,05:24,04:48,23:13,16,0,
AYP,179,35,13,06:28,00:28,23:59,42,1,London
AYR,71,13,7,17:32,00:22,23:54,28,1,Glasgow
AYS,74,16,8,07:29,00:36,23:55,26,1,London
AYW,42,9,4,09:27,05:12,23:39,22,1,Birmingham
BAA,335,57,21,07:33,00:04,23:58,54,4,Brighton|London|Portsmouth|Southampton
BAB,90,13,10,22:55,00:28,23:50,42,3,Brighton|Cambridge|London
BAC,119,20,9,08:22,00:22,23:52,17,1,Liverpool
BAD,75,12,8,22:12,06:28,23:56,16,1,London
BAG,78,14,6,06:24,00:34,23:59,19,1,London
BAH,144,24,9,06:01,06:01,23:56,16,0,
BAI,133,27,11,16:27,00:12,23:47,44,1,Edinburgh
BAJ,36,7,4,08:51,00:06,23:56,34,2,Cardiff|Swansea
BAK,244,52,19,07:01,00:19,23:57,43,1,London
BAL,352,70,25,07:42,00:03,23:54,50,1,London
BAM,51,8,6,22:43,06:35,23:50,26,4,Liverpool|Manchester|Nottingham|Sheffield
BAN,146,28,11,09:11,00:03,23:59,62,10,Birmingham|Coventry|Derby|London|Manchester|Newcastle|Reading|Sheffield|Southampton|York
BAR,48,9,5,13:43,05:42,22:56,16,1,Leeds
BAS,19,4,3,08:54,05:18,22:45,8,1,Plymouth
BAT,73,12,7,18:33,00:11,23:12,20,1,London
BAU,17,2,2,06:53,06:52,21:57,14,0,
BAV,16,3,2,07:37,07:37,22:02,13,0,
BAW,79,12,6,06:18,00:24,23:54,20,1,Reading
BAY,107,22,10,06:35,00:03,23:50,22,1,London
BBG,94,22,9,07:54,00:01,23:57,9,2,Edinburgh|Glasgow
BBK,38,6,4,22:42,00:09,23:23,14,1,Birmingham
BBL,78,12,5,11:25,00:21,23:51,33,1,London
BBN,200,33,14,09:35,00:03,23:47,71,4,Leeds|Manchester|Preston|York
BBW,35,6,3,06:44,00:46,23:00,16,1,Sheffield
BCB,93,17,8,08:13,06:17,23:44,24,1,Manchester
BCC,34,4,4,18:25,05:40,23:24,16,1,Norwich
BCE,82,13,7,05:53,00:13,23:49,19,1,London
BCF,113,17,10,22:14,00:30,23:59,31,2,Birmingham|London
BCG,103,18,8,21:01,06:01,23:50,10,1,Cardiff
BCH,80,13,8,06:35,00:53,23:15,57,1,London
BCJ,35,6,3,06:35,06:35,23:14,4,1,Preston
BCK,41,8,4,06:30,06:30,23:34,14,0,
BCN,69,13,6,08:04,06:33,23:32,14,1,Glasgow
BCS,74,12,6,09:30,00:30,23:55,36,2,Birmingham|London
BCU,202,38,17,07:57,00:08,23:43,53,6,Birmingham|Coventry|London|Manchester|Reading|Southampton
BCV,174,35,13,06:31,00:05,23:53,18,1,London
BCY,380,64,22,07:22,00:01,23:56,39,1,London
BCZ,257,42,18,22:41,00:06,23:53,88,2,Brighton|London
BDA,81,14,7,06:11,05:17,23:57,23,2,Cambridge|Norwich
BDB,139,22,9,06:01,06:01,23:56,13,1,Manchester
BDF,30,6,3,07:56,07:19,22:57,3,0,
BDG,203,37,14,07:32,06:19,23:44,45,0,
BDH,69,16,7,07:55,00:39,23:37,54,4,Brighton|London|Portsmouth|Southampton
BDI,245,43,17,06:58,00:26,23:54,64,6,Leeds|London|Manchester|Peterborough|Preston|York
BDK,140,25,10,06:13,00:02,23:48,39,3,Brighton|Cambridge|London
BDL,144,24,9,06:33,00:20,23:58,16,0,
BDM,190,33,15,07:00,00:01,23:56,90,4,Brighton|Leicester|London|Nottingham
BDN,50,10,4,06:19,05:42,22:45,7,0,
BDQ,99,18,9,06:30,05:46,23:23,32,2,Leeds|London
BDS,685,133,48,07:30,00:02,23:54,40,1,Reading
BDT,51,10,5,08:11,06:10,23:07,31,2,Sheffield|York
BDW,31,7,5,20:42,05:31,23:51,23,4,Exeter|London|Plymouth|Reading
BDY,116,20,11,18:48,06:16,23:50,18,2,Manchester|Sheffield
BEA,110,18,9,06:29,00:09,23:55,36,4,Aberdeen|Edinburgh|Glasgow|Inverness
BEB,192,32,13,08:42,05:51,23:59,20,1,Liverpool
