rank,ttwa_code,ttwa_name,gva_2023_pounds_m,in_top60
1,E30000234,London,565349.7,Y
2,E30000239,Manchester,102563.3,Y
3,E30000266,Slough and Heathrow,79272.1,Y
4,E30000169,Birmingham,58655.9,Y
5,E30000180,Bristol,41144.2,Y
6,E30000229,Leeds,36841.3,Y
7,E30000256,Reading,32729.5,Y
8,E30000212,Guildford and Aldershot,32068.3,Y
9,E30000233,Liverpool,31016.6,Y
10,E30000186,Cambridge,30722.8,Y
11,E30000230,Leicester,30323.2,Y
12,E30000245,Newcastle,29362.4,Y
13,E30000237,Luton,28329.3,Y
14,E30000267,Southampton,27527.0,Y
15,E30000196,Crawley,26712.9,Y
16,E30000284,Warrington and Wigan,25903.3,Y
17,E30000250,Oxford,24689.9,Y
18,E30000249,Nottingham,24212.2,Y
19,E30000261,Sheffield,22968.2,Y
20,E30000195,Coventry,21450.0,Y
21,E30000242,Medway,20173.1,Y
22,E30000276,Swindon,19884.3,Y
23,E30000243,Milton Keynes,19563.9,Y
24,E30000288,Wolverhampton and Walsall,18462.4,Y
25,E30000188,Chelmsford,17259.1,Y
26,E30000254,Portsmouth,16467.4,Y
27,E30000268,Southend,15946.6,Y
28,E30000200,Derby,15333.3,Y
29,K01000011,Chester,15214.4,Y
30,E30000218,High Wycombe and Aylesbury,15033.8,Y
31,E30000248,Norwich,14992.0,Y
32,E30000255,Preston,14921.8,Y
33,E30000206,Exeter,14915.8,Y
34,E30000272,Stevenage and Welwyn Garden City,14786.7,Y
35,E30000220,Hull,14317.2,Y
36,E30000247,Northampton,13774.1,Y
37,E30000273,Stoke-on-Trent,13730.7,Y
38,E30000179,Brighton,13565.4,Y
39,E30000294,York,13550.4,Y
40,E30000202,Dudley,12818.6,Y
41,E30000228,Leamington Spa,12562.2,Y
42,E30000093,Middlesbrough and Stockton,12545.8,Y
43,E30000222,Ipswich,12412.5,Y
44,E30000018,Bradford,12223.5,Y
45,E30000197,Crewe,12067.8,Y
46,E30000164,Basingstoke,11880.6,Y
47,E30000175,Bournemouth,11586.3,Y
48,E30000108,Peterborough,11585.2,Y
49,E30000231,Lincoln,10493.5,Y
50,E30000283,Wakefield and Castleford,10414.2,Y
51,E30000281,Tunbridge Wells,10025.6,Y
52,E30000275,Sunderland,9846.7,Y
53,E30000253,Plymouth,9662.6,Y
54,E30000289,Worcester and Kidderminster,9222.0,Y
55,E30000170,Blackburn,9057.1,Y
56,K01000013,Newport,8693.3,Y
57,E30000240,Mansfield,8408.7,Y
58,E30000209,Gloucester,8350.5,Y
59,E30000219,Huddersfield,7778.4,Y
60,E30000166,Bedford,7744.3,Y
61,E30000203,Durham and Bishop Auckland,7677.0,N
62,E30000280,Trowbridge,7543.8,N
63,E30000171,Blackpool,7400.0,N
64,E30000189,Cheltenham,7223.5,N
65,E30000201,Doncaster,7191.3,N
66,E30000168,Birkenhead,6972.5,N
67,E30000193,Colchester,6891.1,N
68,E30000278,Telford,6760.3,N
69,E30000110,Poole,6758.9,N
70,E30000191,Chichester and Bognor Regis,6676.1,N
71,E30000292,Worthing,6427.9,N
72,E30000244,Newbury,6383.6,N
73,E30000183,Burton upon Trent,6297.5,N
74,E30000224,Kettering and Wellingborough,6281.8,N
75,E30000211,Grimsby,6175.1,N
76,E30000214,Harrogate,6032.3,N
77,E30000029,Halifax,5845.2,N
78,E30000190,Chesterfield,5801.0,N
79,E30000004,Barnsley,5799.6,N
80,E30000204,Eastbourne,5751.6,N
81,E30000221,Huntingdon,5465.8,N
82,E30000293,Yeovil,5435.5,N
83,E30000165,Bath,5359.7,N
84,E30000184,Bury St Edmunds,5264.8,N
85,E30000187,Canterbury,5249.6,N
86,E30000161,Banbury,4993.9,N
87,E30000258,Salisbury,4843.5,N
88,E30000208,Folkestone and Dover,4666.7,N
89,E30000271,Stafford,4562.4,N
90,E30000262,Shrewsbury,4528.0,N
91,E30000182,Burnley,4346.2,N
92,E30000257,Redruth and Truro,4341.8,N
93,E30000216,Hereford,4326.6,N
94,K01000010,Carlisle,4269.4,N
95,E30000285,Weston-super-Mare,4087.3,N
96,E30000260,Scunthorpe,4042.9,N
97,E30000246,Northallerton,4029.3,N
98,E30000160,Ashford,3938.9,N
99,E30000225,King's Lynn,3924.3,N
100,E30000076,Lancaster and Morecambe,3830.9,N
101,E30000241,Margate and Ramsgate,3746.2,N
102,E30000173,Blyth and Ashington,3742.3,N
103,E30000270,St Austell and Newquay,3718.6,N
104,E30000277,Taunton,3662.7,N
105,E30000046,Dorchester and Weymouth,3605.4,N
106,E30000061,Hastings,3461.9,N
107,E30000163,Barrow-in-Furness,3373.9,N
108,E30000070,Isle of Wight,3246.1,N
109,E30000159,Andover,3175.4,N
110,E30000199,Darlington,3175.1,N
111,E30000279,Torquay and Paignton,3156.6,N
112,E30000176,Bridgwater,3063.1,N
113,E30000162,Barnstaple,2951.5,N
114,E30000135,Thetford and Mildenhall,2870.2,N
115,E30000291,Worksop and Retford,2844.4,N
116,E30000235,Lowestoft,2682.2,N
117,E30000124,Spalding,2586.1,N
118,E30000205,Evesham,2573.7,N
119,E30000223,Kendal,2554.0,N
120,E30000210,Great Yarmouth,2422.6,N
121,K01000005,Cinderford and Ross-on-Wye,2256.2,N
122,E30000194,Corby,2156.2,N
123,E30000259,Scarborough,2110.3,N
124,E30000174,Boston,2106.3,N
125,E30000054,Grantham,2087.2,N
126,E30000264,Skegness and Louth,2086.9,N
127,E30000287,Wisbech,1983.0,N
128,E30000039,Skipton,1925.2,N
129,E30000274,Street and Wells,1904.1,N
130,E30000290,Workington,1862.6,N
131,E30000192,Clacton,1855.6,N
132,E30000172,Blandford Forum and Gillingham,1821.0,N
133,E30000051,Falmouth,1793.8,N
134,E30000106,Penrith,1744.2,N
135,E30000215,Hartlepool,1654.6,N
136,K01000014,Oswestry,1525.4,N
137,E30000238,Malton,1523.9,N
138,E30000286,Whitehaven,1416.0,N
139,E30000177,Bridlington,1257.7,N
140,E30000252,Penzance,1176.5,N
141,E30000185,Buxton,1155.9,N
142,E30000232,Liskeard,1112.9,N
143,E30000236,Ludlow,1079.2,N
144,E30000167,Bideford,1033.0,N
145,K01000009,Berwick,978.3,N
146,E30000064,Hexham,870.4,N
147,E30000198,Cromer and Sheringham,866.4,N
148,E30000263,Sidmouth,845.6,N
149,E30000227,Launceston,761.4,N
150,E30000282,Wadebridge,749.5,N
151,E30000226,Kingsbridge and Dartmouth,721.3,N
152,E30000095,Minehead,700.4,N
153,E30000181,Bude,639.0,N
154,E30000178,Bridport,579.6,N
155,E30000147,Whitby,439.7,N
